TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;B1GQ;SCA;MIO_EUR_SCA;AT,93533.4 ,95532.5 ,95409.6 ,96400.4 ,97878.5 ,98924.5 ,99079.7 ,99878.0 ,99516.9 ,96770.0 ,86175.0 ,96222.6 
Q;B1GQ;SCA;MIO_EUR_SCA;BE,112329.0 ,113350.0 ,114752.0 ,115127.0 ,117190.0 ,117479.0 ,118592.0 ,119391.0 ,120741.0 ,116840.0 p,102338.0 p,114831.0 p
Q;B1GQ;SCA;MIO_EUR_SCA;BG,13430.2 ,13476.9 ,13808.3 ,14428.0 ,14286.7 ,15170.7 ,15341.6 ,15060.7 ,15651.4 ,15687.5 p,14342.2 p,15067.6 p
Q;B1GQ;SCA;MIO_EUR_SCA;CH,151465.0 ,152569.7 ,153819.1 ,157684.6 ,159494.6 ,160184.1 ,161170.3 ,166072.2 ,166627.9 ,168053.6 ,156811.4 ,165243.2 
Q;B1GQ;SCA;MIO_EUR_SCA;CY,5148.7 ,5248.3 ,5364.4 ,5393.1 ,5426.8 ,5492.7 ,5555.1 ,5588.9 ,5650.3 ,5614.4 ,4747.4 ,5308.4 
Q;B1GQ;SCA;MIO_EUR_SCA;CZ,51103.2 ,52332.2 ,52483.6 ,52939.7 ,53372.0 ,55119.7 ,55705.0 ,56150.6 ,57074.6 ,56188.8 ,49224.5 ,54009.8 
Q;B1GQ;SCA;MIO_EUR_SCA;DE,831174.0 ,831072.0 ,839431.0 ,840064.0 ,850219.0 ,857171.0 ,858734.0 ,866495.0 ,872335.0 ,860130.0 p,779787.0 p,838686.0 p
Q;B1GQ;SCA;MIO_EUR_SCA;DK,74128.8 ,74229.6 ,75073.4 ,76242.7 ,76815.3 ,76957.2 ,77868.6 ,78997.9 ,78924.1 ,78744.4 ,73226.4 ,76690.5 
Q;B1GQ;SCA;MIO_EUR_SCA;EA,2854606.5 ,2868109.5 ,2890438.8 ,2903363.3 ,2933782.9 ,2958722.9 ,2976275.4 ,2995578.6 ,3015271.9 ,2918164.5 ,2598683.8 ,2897448.9 
Q;B1GQ;SCA;MIO_EUR_SCA;EA19,2854606.5 ,2868109.5 ,2890438.8 ,2903363.3 ,2933782.9 ,2958722.9 ,2976275.4 ,2995578.6 ,3015271.9 ,2918164.5 ,2598683.8 ,2897448.9 
Q;B1GQ;SCA;MIO_EUR_SCA;EE,6146.6 ,6270.2 ,6427.1 ,6493.7 ,6713.2 ,6928.3 ,6978.2 ,7034.8 ,7144.8 ,6967.2 ,6415.6 ,6883.2 
Q;B1GQ;SCA;MIO_EUR_SCA;EL,44367.3 p ,44732.4 p,44777.9 p,44804.4 p,45138.5 p,45685.8 p,46106.6 p,45398.4 p,45379.9 p,45094.2 p,38630.2 p,40385.8 e
Q;B1GQ;SCA;MIO_EUR_SCA;ES,295449.0 ,296754.0 p,299707.0 p,302037.0 p,305743.0 p,307045.0 p,310220.0 p,311674.0 p,315833.0 p,297389.0 p,245933.0 p,287511.0 p
Q;B1GQ;SCA;MIO_EUR_SCA;EU27_2020,3326819.3 ,3346512.8 ,3368924.7 ,3386163.6 ,3424906.7 ,3458728.0 ,3481005.9 ,3504426.7 ,3530738.4 ,3431087.6 ,3057710.8 ,3395034.1 
