TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;P3_S13;SCA;MIO_EUR_SCA;AT,18125.3 ,18329.2 ,18700.6 ,18551.8 ,18884.9 ,19140.6 ,19178.5 ,19473.4 ,19399.0 ,19422.2 ,19710.9 ,20017.3 
Q;P3_S13;SCA;MIO_EUR_SCA;BE,25888.0 ,26100.0 ,26373.0 ,26511.0 ,26871.0 ,27107.0 ,27342.0 ,27497.0 ,27745.0 ,27369.0 p,25819.0 p,28131.0 p
Q;P3_S13;SCA;MIO_EUR_SCA;BG,2075.3 ,2179.2 ,2266.9 ,2380.4 ,2416.5 ,2467.6 ,2563.9 ,2566.1 ,2697.9 ,2755.4 p,2784.8 p,2886.9 p
Q;P3_S13;SCA;MIO_EUR_SCA;CH,17024.4 ,16992.6 ,16961.8 ,17441.8 ,17629.2 ,17762.1 ,17926.7 ,18560.5 ,18688.4 ,19383.9 ,19537.0 ,19336.8 
Q;P3_S13;SCA;MIO_EUR_SCA;CY,760.8 ,766.3 ,769.2 ,768.5 ,843.6 ,847.1 ,897.8 ,978.7 ,967.5 ,1014.0 ,1047.2 ,1069.2 
Q;P3_S13;SCA;MIO_EUR_SCA;CZ,9657.5 ,10039.4 ,10087.0 ,10337.4 ,10433.7 ,10664.9 ,10954.1 ,11213.9 ,11369.7 ,11706.5 ,10954.1 ,11432.0 
Q;P3_S13;SCA;MIO_EUR_SCA;DE,165176.0 ,165067.0 ,167363.0 ,167914.0 ,170003.0 ,172917.0 ,174453.0 ,177749.0 ,179417.0 ,182577.0 p,188799.0 p,187611.0 p
Q;P3_S13;SCA;MIO_EUR_SCA;DK,18095.0 ,18200.0 ,18290.9 ,18420.1 ,18440.7 ,18326.9 ,18554.4 ,18716.2 ,18983.8 ,19163.9 ,18939.8 ,19015.7 
Q;P3_S13;SCA;MIO_EUR_SCA;EA,582791.1 ,584978.7 ,591151.2 ,593988.9 ,599385.8 ,605635.4 ,610423.3 ,616998.4 ,621655.4 ,625707.5 ,627224.2 ,639710.6 
Q;P3_S13;SCA;MIO_EUR_SCA;EA19,582791.1 ,584978.7 ,591151.2 ,593988.9 ,599385.8 ,605635.4 ,610423.3 ,616998.4 ,621655.4 ,625707.5 ,627224.2 ,639710.6 
