TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;AT,48846.5 ,49897.2 ,49669.5 ,49878.5 ,50542.0 ,51308.4 ,51289.3 ,51365.9 ,51362.3 ,49099.0 ,43449.0 ,49513.4 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;BE,57777.0 ,58775.0 ,59380.0 ,59739.0 ,60354.0 ,60445.0 ,60993.0 ,61431.0 ,61886.0 ,58075.0 p,51309.0 p,59837.0 p
Q;P31_S14_S15;SCA;MIO_EUR_SCA;BG,8233.1 ,8272.0 ,8318.1 ,8529.8 ,8411.2 ,8783.6 ,9172.3 ,9031.0 ,9046.3 ,9072.7 p,8816.2 p,: 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;CH,79184.5 ,79457.3 ,79247.8 ,81658.7 ,82511.0 ,83107.6 ,83965.4 ,86407.2 ,86419.4 ,85003.3 ,78436.5 ,86406.5 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;CY,3341.7 ,3386.3 ,3478.7 ,3537.9 ,3582.9 ,3592.6 ,3629.9 ,3577.4 ,3599.1 ,3731.5 ,3257.5 ,3723.0 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;CZ,24184.1 ,24782.9 ,24954.5 ,25177.8 ,25255.3 ,25974.2 ,26414.6 ,26595.9 ,27015.5 ,27047.1 ,23786.6 ,25437.2 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;DE,432045.0 ,435189.0 ,437456.0 ,439513.0 ,444209.0 ,448083.0 ,451313.0 ,453873.0 ,455441.0 ,446512.0 p,398693.0 p,435453.0 p
Q;P31_S14_S15;SCA;MIO_EUR_SCA;DK,34736.5 ,35088.0 ,35519.4 ,35339.6 ,35303.8 ,35943.5 ,35821.8 ,35911.6 ,36477.1 ,35363.6 ,33032.5 ,34709.4 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;EA,1526897.9 ,1542640.0 ,1550428.6 ,1560021.2 ,1571215.0 ,1581647.9 ,1591929.9 ,1600469.6 ,1606632.3 ,1538978.2 ,1346723.7 ,: 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;EA19,1526897.9 ,1542640.0 ,1550428.6 ,1560021.2 ,1571215.0 ,1581647.9 ,1591929.9 ,1600469.6 ,1606632.3 ,1538978.2 ,1346723.7 ,: 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;EE,3089.5 ,3148.4 ,3227.3 ,3287.8 ,3333.4 ,3382.9 ,3464.5 ,3435.7 ,3468.8 ,3511.2 ,3138.6 ,3365.2 
