"Dohodkovna struktura BDP (SKD 2008), tekoèe cene, mio EUR, Slovenija, èetrtletno"

"TRANSAKCIJE";"Originalni podatki 2018Q1";"Originalni podatki 2018Q2";"Originalni podatki 2018Q3";"Originalni podatki 2019Q1";"Originalni podatki 2019Q2";"Originalni podatki 2019Q3";"Originalni podatki 2020Q1";"Originalni podatki 2020Q2";"Originalni podatki 2020Q3"
"Sredstva za zaposlene";5384.5;5970.5;5527.6;5810.5;6525.3;5950.7;6068.4;6263.8;6027.6
"..Sredstva za zaposlene A Kmetijstvo, lov, gozdarstvo, ribištvo";26.8;31.2;29.8;28.9;33.5;30.4;30.4;32.6;30.6
"..Sredstva za zaposlene BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja";1495.1;1650.9;1501.2;1602.3;1805.4;1599.9;1670.3;1625.2;1574.5
"....od tega: sredstva za zaposlene C Predelovalne dejavnosti";1331.8;1468.5;1339.4;1433.7;1617.2;1430.0;1494.5;1428.7;1401.4
"..Sredstva za zaposlene F Gradbeništvo";280.6;321.0;322.9;323.9;381.5;369.5;344.8;380.5;378.3
"..Sredstva za zaposlene GHI Trgovina in popravila vozil, promet in skladišèenje, gostinstvo";1161.0;1297.3;1193.8;1262.5;1421.1;1292.5;1291.2;1246.0;1274.9
"..Sredstva za zaposlene J Informacijske in komunikacijske dejavnosti";206.0;226.5;213.9;227.9;252.5;232.2;247.2;256.8;244.5
"..Sredstva za zaposlene K Finanène in zavarovalniške dejavnosti";202.5;210.0;183.6;215.5;224.6;196.9;214.7;221.0;196.5
"..Sredstva za zaposlene L Poslovanje z nepremièninami";33.6;39.4;34.1;35.3;38.7;37.9;37.2;39.4;37.4
"..Sredstva za zaposlene MN Strokovne, znanstvene, tehniène dejavnosti in druge raznovrstne poslovne dejavnosti";601.6;662.3;661.6;630.2;699.6;692.9;662.8;609.0;678.1
"..Sredstva za zaposlene OPQ Uprava in obramba, izobraževanje, zdravstvo in socialno varstvo";1238.9;1378.1;1244.6;1334.5;1500.9;1343.2;1417.4;1711.8;1455.6
"..Sredstva za zaposlene RST Druge storitvene dejavnosti";138.3;153.8;142.2;149.4;167.5;155.2;152.5;141.4;157.2
"Bruto plaèe";4603.8;5179.4;4736.8;4966.5;5676.4;5098.9;5188.0;5453.6;5163.5
"..Bruto plaèe A Kmetijstvo, lov, gozdarstvo, ribištvo";23.0;27.0;25.5;24.6;29.0;25.9;25.9;28.2;26.0
"..Bruto plaèe BCDE Rudarstvo, predelovalne dejavnosti, oskrba z elektriko in vodo, ravnanje z odplakami, saniranje okolja";1259.6;1415.9;1264.6;1348.6;1556.0;1349.6;1405.9;1404.4;1329.7
